project,revision,numberofbugs,days
ActiveMQ,520814,4,1212
ActiveMQ,520819,1,0
ActiveMQ,520865,1,0
ActiveMQ,523259,1,0
ActiveMQ,523266,1,0
ActiveMQ,523332,1,0
ActiveMQ,533739,1,0
ActiveMQ,533740,1,0
ActiveMQ,541256,1,0
ActiveMQ,541306,3,1520
ActiveMQ,546120,3,1365
ActiveMQ,546502,1,0
ActiveMQ,546537,1,0
ActiveMQ,546847,1,0
ActiveMQ,547906,5,1229
ActiveMQ,548260,1,0
ActiveMQ,549845,1,0
ActiveMQ,549847,2,140
ActiveMQ,549883,1,0
ActiveMQ,549887,4,722
ActiveMQ,550449,3,1614
ActiveMQ,550451,1,0
ActiveMQ,551271,15,1872
ActiveMQ,551443,4,972
ActiveMQ,551902,6,1388
ActiveMQ,552710,1,0
ActiveMQ,552713,8,2457
ActiveMQ,552738,3,191
ActiveMQ,552845,1,0
ActiveMQ,553095,1,0
ActiveMQ,554315,1,0
ActiveMQ,557389,1,0
ActiveMQ,557748,3,545
ActiveMQ,558044,2,1668
ActiveMQ,558054,14,2040
ActiveMQ,558774,3,184
ActiveMQ,558814,2,1379
ActiveMQ,559132,1,0
ActiveMQ,559915,1,0
ActiveMQ,560352,1,0
ActiveMQ,560694,1,0
ActiveMQ,560696,10,1867
ActiveMQ,560783,7,2329
ActiveMQ,560872,3,1535
ActiveMQ,561026,4,213
ActiveMQ,561109,1,0
ActiveMQ,561180,1,0
ActiveMQ,563194,5,1068
ActiveMQ,563921,34,2076
ActiveMQ,563982,21,1793
ActiveMQ,564057,18,1690
ActiveMQ,564271,74,2567
ActiveMQ,564505,1,0
ActiveMQ,564679,47,2288
ActiveMQ,564814,41,1948
ActiveMQ,564977,8,2162
ActiveMQ,565003,25,2577
ActiveMQ,567646,1,0
ActiveMQ,567647,17,2117
ActiveMQ,567796,3,1355
ActiveMQ,569270,3,1075
ActiveMQ,571306,1,0
ActiveMQ,572300,1,0
ActiveMQ,572975,1,0
ActiveMQ,573395,1,0
ActiveMQ,573397,1,0
ActiveMQ,573615,2,620
ActiveMQ,574321,3,1058
ActiveMQ,574460,2,918
ActiveMQ,577882,1,0
ActiveMQ,578877,6,1636
ActiveMQ,579941,2,646
ActiveMQ,581053,3,72
ActiveMQ,581242,1,0
ActiveMQ,581568,1,0
ActiveMQ,581683,2,413
ActiveMQ,581747,3,395
ActiveMQ,581881,2,1732
ActiveMQ,582801,1,0
ActiveMQ,582910,1,0
ActiveMQ,583237,2,990
ActiveMQ,583595,4,1211
ActiveMQ,584800,2,1599
ActiveMQ,584863,8,1087
ActiveMQ,585375,3,514
ActiveMQ,585413,1,0
ActiveMQ,585853,1,0
ActiveMQ,585967,4,631
ActiveMQ,586185,3,1124
ActiveMQ,586460,4,1229
