project,bug,bug-introducing_changes,days
ActiveMQ,AMQ-2622,3,1565
ActiveMQ,AMQ-2626,17,1532
ActiveMQ,AMQ-2628,5,1266
ActiveMQ,AMQ-2643,4,1894
ActiveMQ,AMQ-2645,3,14
ActiveMQ,AMQ-2651,6,1504
ActiveMQ,AMQ-2654,1,0
ActiveMQ,AMQ-2656,1,0
ActiveMQ,AMQ-2659,1,0
ActiveMQ,AMQ-2662,1,0
ActiveMQ,AMQ-2663,1,0
ActiveMQ,AMQ-2665,6,2021
ActiveMQ,AMQ-2669,1,0
ActiveMQ,AMQ-2677,1,0
ActiveMQ,AMQ-2681,3,1491
ActiveMQ,AMQ-2683,3,1051
ActiveMQ,AMQ-2684,3,924
ActiveMQ,AMQ-2687,1,0
ActiveMQ,AMQ-2691,12,1366
ActiveMQ,AMQ-2693,3,1391
ActiveMQ,AMQ-2695,16,1384
ActiveMQ,AMQ-2696,7,1559
ActiveMQ,AMQ-2704,5,1551
ActiveMQ,AMQ-2706,1,0
ActiveMQ,AMQ-2707,2,2
ActiveMQ,AMQ-2713,8,1172
ActiveMQ,AMQ-2715,9,1581
ActiveMQ,AMQ-2719,6,699
ActiveMQ,AMQ-2720,4,993
ActiveMQ,AMQ-2728,15,1603
ActiveMQ,AMQ-2729,1,0
ActiveMQ,AMQ-2730,1,0
ActiveMQ,AMQ-2732,5,283
ActiveMQ,AMQ-2736,4,686
ActiveMQ,AMQ-2738,2,206
ActiveMQ,AMQ-2740,3,1399
ActiveMQ,AMQ-2749,1,0
ActiveMQ,AMQ-2751,1,0
ActiveMQ,AMQ-2752,2,225
ActiveMQ,AMQ-2754,2,607
ActiveMQ,AMQ-2755,4,1123
ActiveMQ,AMQ-2757,1,0
ActiveMQ,AMQ-2764,22,1721
ActiveMQ,AMQ-2765,1,0
ActiveMQ,AMQ-2769,2,163
ActiveMQ,AMQ-2772,1,0
ActiveMQ,AMQ-2774,14,1691
ActiveMQ,AMQ-2776,1,0
ActiveMQ,AMQ-2782,1,0
ActiveMQ,AMQ-2793,1,0
ActiveMQ,AMQ-2800,27,1671
ActiveMQ,AMQ-2806,6,1662
ActiveMQ,AMQ-2811,1,0
ActiveMQ,AMQ-2813,1,0
ActiveMQ,AMQ-2817,3,1516
ActiveMQ,AMQ-2822,3,886
ActiveMQ,AMQ-2832,11,1245
ActiveMQ,AMQ-2836,1,0
ActiveMQ,AMQ-2837,1,0
ActiveMQ,AMQ-2840,3,1713
ActiveMQ,AMQ-2852,25,1622
ActiveMQ,AMQ-2857,2,410
ActiveMQ,AMQ-2863,1,0
ActiveMQ,AMQ-2864,4,11
ActiveMQ,AMQ-2866,1,0
